NAME,TAGLINE,HQ REGION,HQ COUNTRY,HQ CITY,LATITUDE,LONGITUDE,TOTAL FUNDING (EUR M),TAGS,INDUSTRIES,SUB INDUSTRIES,GROWTH STAGE,INVESTORS,EACH INVESTOR TYPES,Closest FUA,public and non-profit,investment entities,support programs,advisory and service provider
ANNEA,Provides the next generation of condition-based predictive maintenance and underperformance detection for renewable energy assets,Europe,Germany,Hamburg,53.5510846,9.9936819,1,berlin startup scholarship;sustainable development goals;predictive maintenance;predictive analytics;wind energy;hydropower;climate tech,energy,energy efficiency;clean energy,early growth,Bosch Startup Harbour;Innovationsstarter Fonds;Faber;Innoport,support programs;investment entities;investment entities;investment entities,Hamburg,0,3,1,0
Fuelsave,"Energy efficiency enhancement company. FuelSave GmbH is a young company with a strong research and development background. We strive to establish and assert ourselves as one of the leading providers of efficiency technologies for ships, vehicles, industrial plants and the energy market worldwide",Europe,Germany,Heidelberg,49.294983,8.649036,1.6,sustainable development goals;marine;biofuel;hydrogen;climate tech;ev motor;electric mobility;blue economy;bluetech,energy;transportation,energy efficiency;clean energy;vehicle production,seed,European Innovation Council;Building Global Innovators;Techstars;Dreamcraft Ventures;Plug and Play;Plug & Play Topeka;Faber,public and non-profit;support programs;support programs;investment entities;investment entities;support programs;investment entities,Heidelberg,1,3,3,0
WeSustain,WeSustain develops and sells web-based software for enterprise sustainability management,Europe,Germany,Heidelberg,49.2952996,8.6480786,4,sustainable development goals;climate tech,energy;enterprise software,energy efficiency,seed,VNT Management;High-Tech Gründerfonds;Cority,investment entities;investment entities;investment entities,Heidelberg,0,3,0,0
Altum Technologies,Using software-guided power ultrasound to clean fouling without production stoppages or the ​use of toxic chemicals,Europe,Finland,Helsinki,60.1647601,24.9523872,1.5,ultrasound;mechanical solutions;sustainable development goals; horticultural products ,energy;chemicals,waste solution,early growth,Maki.vc;Lifeline Ventures;Tesi;Hambro Perks,"investment entities;investment entities;investment entities,investment entities;investment entities",Helsinki,0,3,0,0
ResQ,"Allows consumers to ""rescue"" valuable food at risk of going to waste, from e.g. restaurants and bakeries",Europe,Finland,Helsinki,60.1657982,24.9316134,1.35,food waste;customer service;meal kits;packaging and containers;sustainable development goals;climate tech;waste reduction;circular economy,food;energy,in-store retail & restaurant tech;waste solution,early growth,Loudspring;Ananda Impact Ventures;FoodLabs;Maria 01,investment entities;investment entities;investment entities;support programs,Helsinki,0,3,1,0
LeaseGreen,Offers a new holistic solution to reduce energy consumption in large buildings,Europe,Finland,Helsinki,60.23420625,24.8963223,1.63,sustainable development goals;climate tech,real estate;energy,energy efficiency;energy providers,early growth,Hartwall Capital Oy;Saunaranta Invest Oy;Stig Gustavson,investment entities;investment entities;investment entities,Helsinki,0,3,0,0
Convion,Convion offers a solution for ultra-clean and efficient power generation in small scale by fuel cells,Europe,Finland,Helsinki,60.1888856,24.7236073,5.25,sustainable development goals;hydrogen;climate tech;novel energy;hydrogen novel energy,energy,energy storage;clean energy,early growth,European Innovation Council;VNT Management;Springvest;Lifeline Ventures;PROfounders Capital,"public and non-profit;investment entities;advisory and service provider,investment entities;investment entities;investment entities",Helsinki,1,3,0,0
Geyser Batteries Oy,Safe and sustainable batteries for heavy-duty applications,Europe,Finland,Helsinki,60.1668838,24.92166134,1.01,battery;ev battery;novel energy;electric mobility;other chemistry novel energy;sustainable development goals;climate tech;alternative battery chemistry,energy;transportation,energy storage,early growth,Voima Ventures;Butterfly Ventures;Maria 01;Tesi;Rockstart;Ørsted,"investment entities;investment entities;support programs;investment entities,investment entities;support programs;investment entities",Helsinki,0,3,2,0
Eniram,Energy management technology to reduce fuel consumption and emissions for the maritime industry,Europe,Finland,Helsinki,60.1665691,24.9009245,10,shipping;marine;sustainable development goals;maritime;industrial analytics;industrial technology;energy tech;climate tech;bluetech,energy;transportation,energy efficiency,early growth,Conor Venture Partners;Wartsila;Ferd Venture;Tesi,"investment entities;investment entities;investment entities;investment entities,investment entities",Helsinki,0,3,0,0
Moventas,Provider of drivetrain technology and services in the wind industry,Europe,Finland,Jyvaskyla,62.2396549,25.7186813,32,training;sustainable development goals;testing;wind energy;climate tech,energy,clean energy,late growth,ESO Capital;Clyde Blowers Capital;Flender;N4 Partners,"investment entities;investment entities,investment entities;investment entities;investment entities",Tampere,0,3,0,0
enercast,Enercast it a self-learning software-as-a-service products deliver accurate power forecasts for wind power and solar plants,Europe,Germany,Kassel,51.326168,9.5054269,2.3,solar energy;wind energy;sustainable development goals;energy tech;industrial technology;climate tech,energy,energy efficiency;clean energy,early growth,High-Tech Gründerfonds;Innogy Ventures;Fraunhofer Venture,investment entities;investment entities;investment entities,Frankfurt,0,3,0,0
PVcase,A solar engineering software integrated with AutoCAD to design utility-scale photovoltaic plants 30 times faster,Europe,Lithuania,Kaunas,54.8936251,23.9159984,21.41,startuplithuania;sustainable development goals;solar energy;climate tech,energy;enterprise software,energy efficiency;clean energy,late growth,Contrarian Ventures;Practica Capital;EIT Climate-KIC;Elephant,investment entities;investment entities;support programs;investment entities,Vilnius,0,3,1,0
Green Fuel Nordic,"We are a biorefining company based in Finland. Our business model is based on utilising innovative, commercially used pyrolysis technology in the production of advanced bio-oil",Europe,Finland,Kuopio,63.6210948,27.2076121,14,sustainable development goals;biofuel;climate tech;blue economy;bluetech;circular economy,energy,oil & gas;waste solution,seed,OP Financial Group;European Investment Bank;ELY Centre (Ministry of Employment and the Economy of Finland);Finnvera,investment entities;public and non-profit;investment entities;investment entities,Oulu,1,3,0,0
Hydraloop,"Empowers people and organizations to save water, energy, and reduce carbon footprint by offering clean-tech water recycling products",Europe,Netherlands,Leeuwarden,53.1963531,5.8026811,2,waste reduction;water treatment;wastewater treatment;decentralised applications;recycling;sustainable development goals;climate tech;circular economy,energy,energy efficiency;clean energy;waste solution;water,early growth,AMAVI Capital;Crowdcube;NOM;Cacao Capital,investment entities;public and non-profit;investment entities;investment entities,Amsterdam,1,3,0,0
Sitemark,"Provides software and services to streamline and optimize the engineering, construction, and operation of solar sites",Europe,Belgium,Leuven,50.8650119,4.6691501,7.82,spinout;industrial drones;drones;aerospace;space tech;construction tech;sustainable development goals;space tech to aviation;solar energy;aviation & aerospace;industrial technology;industrial robotics;industrial analytics;space downstream;climate tech,energy;robotics,energy efficiency;clean energy,early growth,European Innovation Council;Chroma Impact Investment;Startupbootcamp;Startupbootcamp Smart Materials;Startupbootcamp Fintech New York;Korys;Flemish Institute for Technological Research (VITO);Start it @KBC,public and non-profit;investment entities;support programs;investment entities;support programs;investment entities;public and non-profit;support programs,Brussels,2,3,3,0
Ampacimon,Smart solution for a dynamic grid,Europe,Belgium,Liege,50.650483,5.483692,4.05,sustainable development goals;industrial connectivity;industrial technology;energy tech;climate tech;spinout,energy,energy efficiency,late growth,European Innovation Council;Korys;Gesval;Creos;Noshaq;University of Liège,"public and non-profit;investment entities;investment entities;investment entities;investment entities,investment entities;public and non-profit",Aachen,2,3,0,0
Ecop Technologies,Cutting Edge Solutions for Industrial Heating and Cooling,Europe,Austria,Linz,48.120658,14.206986,4.38,machinery manufacturing;cooling tech;sustainable development goals;climate tech;heat pump,energy,energy efficiency,early growth,European Innovation Council;FSP Ventures;INiTS | Vienna's High-Tech Incubator;OOE Hightechfonds;tech2b Inkubator GmbH;ROCKETS Investments,public and non-profit;investment entities;support programs;investment entities;investment entities;public and non-profit,Linz,2,3,1,0
C2C-NewCap,Developed a breakthrough supercapacitor contributing towards a more sustainable mobility,Europe,Portugal,Lisbon,38.7954878,-9.18779819,4.66,climate tech;battery;sustainable development goals;eic,energy;transportation,mobility;energy storage;clean energy,seed,European Innovation Council;Caixa Capital (Portugal);EIT InnoEnergy;REPSOL Foundation;MassChallenge;EIC Fund (European Innovation Council Fund),"public and non-profit;investment entities;investment entities;investment entities,investment entities;support programs;investment entities",Lisbon,1,3,1,0
Jungle AI,"Predictive intelligence that's leveraging high-volume complex data, distributed computing, machine learning and genetic optimisation",Europe,Portugal,Lisbon,38.7264273,-9.1359984,6,predictive analytics;analytics;sustainable development goals;optimization;climate tech;wind energy,energy;enterprise software,,early growth,Innogy Innovation Hub;Future Energy Ventures;EDP Ventures;Gorilla Capital Fund;EDP Starter;SHIFT Invest;Lloyd's lab;BIND 4.0 - Basque Open Innovation Platform;Rocks International Group,"support programs;investment entities,investment entities;investment entities,investment entities;investment entities;support programs;investment entities;support programs;support programs;investment entities",Lisbon,0,3,4,0
BladeInsight,Offering tailored solutions for wind turbine blade operations and maintenance,Europe,Portugal,Lisbon,38.74115263,-9.30352466,1.98,drones;infrastructure services;wind energy;sustainable development goals;industrial drones;industrial technology;industrial robotics;climate tech,energy;robotics,clean energy,early growth,European Innovation Council;EIT InnoEnergy;Katapult;EDP Ventures;Betwixt Ventures;Swire Energy Services,"public and non-profit;investment entities;support programs;investment entities,investment entities;investment entities;investment entities",Lisbon,1,3,1,0
Ener-pacte,Secures and optimizes existing photovoltaic power plants,Europe,France,Lyon,45.7593031,4.8556114,3.8,smart grid;climate tech;sustainable development goals,energy,energy efficiency;energy storage,early growth,EIT InnoEnergy;JBC2;BCM Energy group;Lita.co;Greenpact,investment entities;investment entities;investment entities;public and non-profit;advisory and service provider,Lyon,1,3,0,1
Llewo,First eco-sustainable last mile delivery service makes its green fleet available to its customers,Europe,Spain,Madrid,40.2906599,-3.702161,5.91,last-mile delivery;logistics & delivery;sustainable development goals;climate tech,energy;transportation,maintenance;logistics & delivery,late growth,EIT InnoEnergy;Enagás Emprende;Enagás;Grupo Ilunion,investment entities;investment entities;investment entities;advisory and service provider,Madrid,0,3,0,1
Rated Power,"Offers pvDesign, the leading cloud-based software to design and engineer large-scale solar photovoltaic plants in minutes",Europe,Spain,Madrid,40.4256598,-3.6917471,5.73,solar energy;sustainable development goals;climate tech;space tech;space downstream;space tech to energy,energy;enterprise software,,late growth,European Innovation Council;Techstars;Techstars Berlin;Techstars Dubai;Techstars Berlin Accelerator;EIT Climate-KIC;Seaya;Horizon 2020;Techstars Boston;Techstars Stockholm;Techstars Paris;Google for Startups Accelerator;Enverus Intelligence Research (formerly RSEG),public and non-profit;support programs;support programs;support programs;support programs;support programs;investment entities;investment entities;support programs;support programs;support programs;support programs;investment entities,Madrid,1,3,9,0
P21,P21 develops and markets energy-management solutions for the telecommunications industry.,Europe,Germany,Magdeburg,51.838332,10.787103,34.8,solar energy;telecommunications;climate tech;sustainable development goals,telecom;energy,energy efficiency;clean energy,seed,Conduit Ventures;Target Partners;Heliocentris,investment entities;investment entities;investment entities,Leipzig,0,3,0,0
D Laboratory,"Energy technology company based at Ideon Science Park in Lund, Sweden",Europe,Sweden,Malmo,55.715689,13.2235709,2.82,sustainable development goals;smart grid;energy tech;industrial technology;climate tech;nordic rising star 2022,energy,energy efficiency;energy storage,early growth,Almi Invest;Gunnar Bergstedt;Ideon Innovation;Sustainable Energy Angels,investment entities;investment entities;support programs;investment entities,Malmo,0,3,1,0
Terradona,Incentive system to reduce wastes,Europe,France,Marseille,43.469715,5.599404,1.4,sustainable development goals;smart cities;climate tech,energy,waste solution;energy efficiency,early growth,Caisse des Dépôts - CDC Group;EDF Ventures;Paca Emergence,investment entities;investment entities;investment entities,Marseille,0,3,0,0
45-8 ENERGY,Dedicated to the eco-friendly exploration and production in Europe of helium and its associated resources such as natural hydrogen,Europe,France,Metz,49.11072,6.19283,6.2,hydrogen novel energy;hydrogen;helium ecosystem;sustainable development goals;climate tech,energy,clean energy,early growth,Bpifrance;HELING;Greentech Verte,investment entities;investment entities;investment entities,Luxembourg,0,3,0,0
The Kingfish Company,Fish farm in the Netherlands without antibiotics or vaccines and operating on 100% renewable energy,Europe,Netherlands,Middelburg,51.5865547,3.8665181,72.41,aquaculture;sustainable development goals;novel farming;climate tech;blue economy;bluetech,food;energy,water;agritech,late growth,Creadev;Rabobank;Cibus Fund;P Capital Partners,"investment entities;investment entities;investment entities,investment entities;investment entities",Antwerp,0,3,0,0
Zehus,Smartly manages the electric power,Europe,Italy,Milan,45.490443,9.212074,5.42,bike;battery;sustainable development goals;micromobility;climate tech;ev motor;electric mobility,energy;transportation,mobility;clean energy;vehicle production,early growth,CDP Venture Capital;Vittoria Industries;European Innovation Council;M31 Italia Srl,investment entities;investment entities;public and non-profit;investment entities,Milan,1,3,0,0
Arkolia Energies,Turnkey construction of electric power plants for renewable energies,Europe,France,Montpellier,43.649001,4.0411979,15,wind energy;solar energy;sustainable development goals;climate tech,real estate;energy,clean energy,late growth,Bpifrance;Irdi Soridec Gestion;Alain PLANCHOT,investment entities;investment entities;investment entities,Montpellier,0,3,0,0
T-zic,"Designing, and manufacturing innovative UV LED products dedicated to the treatment and purification of water directly at the point of use",Europe,France,Montpellier,43.6608063,3.9012543,1.1,sustainable development goals;climate tech;water treatment,energy;semiconductors,water,early growth,WeLike;Provence Business Angels;Greentech Verte,investment entities;investment entities;investment entities,Montpellier,0,3,0,0
GOVECS,"Completely dedicated to the development, production, and marketing of electric vehicles.",Europe,Germany,Munich,48.1346615,11.6110943,10,automotive;car;mobility;e-scooters;sustainable development goals;micromobility;climate tech;ev manufacturing;electric mobility;urban tech,energy;transportation,vehicle production,late growth,GIMV;KFW;WOLFF & MÜLLER Holding,investment entities;investment entities;investment entities,Munich,0,3,0,0
HeyCharge GmbH,"Offers a no-hassle, fast retrofit of low-cost electric vehicle chargers to your residential multi-unit property (e.g. a parking garage below an apartment building)",Europe,Germany,Munich,48.1327482,11.5764036,4.57,sustainable development goals;ev charging hardware;ev charging infrastructure;climate tech;ev charging;electric mobility,energy;transportation,clean energy,early growth,EIT Climate-KIC;Y Combinator;Plug and Play;BMW i Ventures;Statkraft Ventures;Plug & Play Topeka,support programs;support programs;investment entities;investment entities;investment entities;support programs,Munich,0,3,3,0
Qivivo,An energy savings provider,Europe,France,Nantes,47.2066795,-1.5629036,2.77,sustainable development goals;smart home;smart building;climate tech,energy;home living,energy efficiency,early growth,Bpifrance;GO Capital;Kima Ventures;Saint-Gobain;European Innovation Council;Horizon 2020 FTI (Fast Track to Innovation),"investment entities;investment entities;investment entities,investment entities;investment entities;public and non-profit;public and non-profit",Nantes,2,3,0,0
Enerdigit,Developing flexibility solutions for the power grid,Europe,France,Nantes,47.2058766,-1.5757242,2.5,sustainable development goals;energy tech;industrial technology;climate tech,energy,clean energy;energy efficiency,early growth,ABAB - Atlantic Business Angels Booster;Bpifrance;Greentech Verte,investment entities;investment entities;investment entities,Nantes,0,3,0,0
Nabrawind Technologies,Advanced wind technologies for wind turbine components,Europe,Spain,Pamplona,42.8148941,-1.640727,3.93,sustainable development goals;eic;wind energy;climate tech,energy,clean energy;energy storage,early growth,Sodena;EIT InnoEnergy;European Innovation Council;Fortescue Future Industries,investment entities;investment entities;public and non-profit;investment entities,Bilbao,1,3,0,0
PowerUp,"PowerUp has developed a breakthrough technology based on more than ten years of research by CEA-LITEN (innovation laboratory for new energy technologies), as well as on a total of 9 patents. Our solutions aim to enhance the reliability and sustainability of lithium-ion batteries and electric systems",Europe,France,Paris,48.959184,2.4962507,5,lithium ion batteries;sustainable development goals;climate tech;battery management system;ev battery;electric mobility,energy,energy storage,early growth,Supernova Invest;Electricite De France;Wilco;Électricité de France (EDF group);EIT Climate-KIC,investment entities;investment entities;support programs;investment entities;support programs,Paris,0,3,2,0
horsnormes,Anti-waste e-grocery at 40% discount,Europe,France,Paris,48.8770248,2.3228362,8.5,climate tech;food waste;sustainable development goals,food;energy,waste solution,late growth,Stride.VC;Kima Ventures;Project A;Tet Ventures,"investment entities;investment entities,investment entities;investment entities;investment entities",Paris,0,3,0,0
Forsee Power,Specialist in lithium-ion battery systems for electric transport,Europe,France,Paris,48.8190379,2.373335,70,lithium ion batteries;mobility;sustainable development goals;ev battery tech;ev battery;climate tech;electric mobility,energy;transportation,energy storage,late growth,Eurazeo;European Investment Bank;Mitsui & Co;Bpifrance;Eurazeo Investment Manager,"investment entities,investment entities;public and non-profit;investment entities;investment entities;investment entities",Paris,1,3,0,0
Homeys,Homeys allows professionals to save time in collecting data from the home and identify the most effective levers to reduce energy consumption in the building,Europe,France,Paris,48.82936258,2.36128929,1.1,climate tech;sustainable development goals;green buildings;building energy management;building energy efficiency;urban tech,real estate;energy,real estate software;energy efficiency,early growth,Saint-Gobain;Sonergia;Saint-Gobain NOVA,investment entities;investment entities;investment entities,Paris,0,3,0,0
Agronergy,Renewable heat supplier based on vegetable agricultural co-products,Europe,France,Paris,48.8791293,2.3176194,2,biomass;agritech;supply chain management;sustainable development goals;climate tech,energy,clean energy;waste solution;energy providers,early growth,Paris&Co;Generis Capital Partners;Crédit Agricole;EIT InnoEnergy;EIT Climate-KIC,support programs;investment entities;investment entities;investment entities;support programs,Paris,0,3,2,0
Qotto,Providing solar-powered energy solutions in West Africa,Europe,France,Paris,48.8855953,2.2592925,7.82,vivatech2019;solar energy;sustainable development goals;climate tech;off-grid,telecom;energy,clean energy,late growth,Sowefund;Smartangels;IBL Group;Cordaid Social AdVenture;Lion’s Head Global Partners,public and non-profit;public and non-profit;investment entities;investment entities;investment entities,Paris,2,3,0,0
Granular SAS,Creating market solutions that facilitate 24/7 clean energy sourcing and generate new price signals for clean energy,Europe,France,Paris,48.8588897,2.32004102,2,solar energy;wind energy;climate tech;sustainable development goals,energy,clean energy,early growth,Seedcamp;Powerhouse Ventures;Revent Capital,investment entities;investment entities;investment entities,Paris,0,3,0,0
Qair,An Independent Power Producer (IPP) that operates 860 MW of renewable energy generation assets,Europe,France,Paris,48.8749251,2.3101325,45,climate tech;sustainable development goals,energy,clean energy;energy providers,late growth,DIF;Bpifrance;RGreen Invest,investment entities;investment entities;investment entities,Paris,0,3,0,0
ZEPLUG,"The first operator for electric vehicle (EV) charging at home, especially in collective buildings, and in the workplace",Europe,France,Paris,48.8696457,2.3446336,5,climate tech;sustainable development goals;ev charging;electric mobility,energy;transportation,maintenance;energy providers,late growth,LBO France;Intermediate Capital Group;BORNES SOLUTIONS;Tandem Partners,"investment entities,investment entities;investment entities;investment entities;investment entities",Paris,0,3,0,0
In Sun We Trust,Photovoltaic system installation and pre-installation solutions,Europe,France,Paris,48.84586,2.42452,17.14,solar energy;sustainable development goals;energy tech;industrial technology;climate tech,energy,clean energy;energy efficiency,early growth,Otovo;Axel Johnson;Greentech Verte,investment entities;investment entities;investment entities,Paris,0,3,0,0
Leosphere,Develops advanced optoelectronic devices,Europe,France,Paris,48.879082,2.324883,20.91,risk management;aviation & aerospace;wind energy;sustainable development goals;climate tech,energy,clean energy,late growth,Eurazeo;Electranova Capital;Wilco;Vaisala;Eurazeo Investment Manager,"investment entities,investment entities;investment entities;support programs;investment entities;investment entities",Paris,0,3,1,0
Brite Solar,Brite Solar is a nanomaterials company delivering a new class of glass materials for building construction,Europe,Greece,Patras,38.246242,21.7350847,5.88,solar energy;eicfund,energy,clean energy,early growth,Startupbootcamp;European Innovation Council;Rainmaking;Startupbootcamp Smart Materials;Startupbootcamp Fintech New York;EIC Fund (European Innovation Council Fund);European Innovation Council and SMEs Executive Agency (EISMEA),support programs;public and non-profit;investment entities;investment entities;support programs;investment entities;public and non-profit,Athens,2,3,2,0
AddVolt,"Producing plug-in electric system targeted for transportation markets, which avoids fuel usage and reduces noise and CO2 emissions of refrigeration units during goods transportation",Europe,Portugal,Porto,41.1984166,-8.6080758,1.69,truck;spinout;eic;sustainable development goals;ev motor;industrial connectivity;industrial technology;electric mobility,energy;transportation,energy storage;logistics & delivery;vehicle production,early growth,Portugal Ventures;Abacus Alpha;2bpartner;European Innovation Council;UPTEC – Science and Technology Park of University of Porto;University of Porto;U.Porto Inovação,investment entities;investment entities;investment entities;public and non-profit;support programs;public and non-profit;support programs,Porto,2,3,2,0
Omniflow,Transforming street lights into carbon neutral smart IOT/5G infrastructures,Europe,Portugal,Porto,41.1687619,-8.6453106,2.05,smart cities;vivatech2019;sustainable development goals;solar energy;battery;climate tech,energy,energy storage;energy efficiency;clean energy,early growth,European Innovation Council;HCapital Partners;Portugal Ventures;Plug and Play;Orange Fab;European Innovation Council and SMEs Executive Agency (EISMEA);Wayra;Plug & Play Topeka,"public and non-profit;investment entities,investment entities;investment entities;investment entities;support programs;public and non-profit;investment entities;support programs",Porto,2,3,2,0
ChemiTek,"Chemitek develops, produces and comercializes customized and innovative liquid solutions for industrial maintenance",Europe,Portugal,Povoa de Varzim,41.55847882,-8.75770847,1.12,chemical;advanced materials;industrial technology;solar energy;sustainable development goals;climate tech;green buildings;urban tech,energy,energy efficiency;clean energy,early growth,BrainCapital;Portugal Ventures;Startup Braga;Ganexa capital,investment entities;investment entities;support programs;investment entities,Porto,0,3,1,0
Lerta,We offer an energy management platform,Europe,Poland,Poznan,52.4310046,16.9522183,2.43,sustainable development goals;virtual power plant;climate tech,energy,energy providers;clean energy,late growth,PGE Ventures;ValueTech Seed;Photon Energy Group,investment entities;investment entities;investment entities,Wroclaw,0,3,0,0
Scuter,World-first MaaS provider based on fleets of proprietary and purpose-designed EVs,Europe,Italy,Rome,41.8992897,12.5072332,3.55,micromobility;mobility;sustainable development goals;parking;battery;rome startup;e-scooters;electric mobility;urban tech;ev manufacturing;bike;location based;climate tech;ride sharing,energy;transportation,mobility;navigation & mapping,early growth,INCENSe;FIWARE;LVenture Group;Mamacrowd;Dock3 - The Startup Lab;CDP Venture Capital;Invitalia;Intesa Sanpaolo Innovation Center,support programs;support programs;investment entities;public and non-profit;support programs;investment entities;investment entities;support programs,Rome,1,3,4,0
Involtum,"Invoicing temporary usage for electricity, water and other services",Europe,Netherlands,Rotterdam,51.9248151,4.477849,1,accounting;climate tech;sustainable development goals;invoicing,fintech;energy,water,early growth,ENERGIIQ;InnovationQuarter;Ease2Pay,investment entities;investment entities;investment entities,Rotterdam,0,3,0,0
Nasekomo,Produces premium sustainable insect products for the feed and agriculture industries,Europe,Bulgaria,Sofia,42.6977082,23.3218675,12,sustainable development goals;meat substitute;alternative protein;insect;pet;aquaculture;micro-nutrients;macro-nutrients;novel farming;climate tech;fertigation;waste reduction,food;energy,waste solution;agritech;innovative food,early growth,The Chivas Venture;Morningside Hill;New Vision 3;EIT Food,investment entities;investment entities;investment entities;support programs,Sofia,0,3,1,0
Paebbl AB,Turns CO2 into products the world needs,Europe,Sweden,Stockholm,59.336147,18.06929,8,climate tech;sustainable development goals;carbon capture and storage;sustainable cement;carbon utilisation;circular economy,energy,waste solution,seed,Walerud Ventures;Pale blue dot;Grantham Foundation;2050,investment entities;investment entities;public and non-profit;investment entities,Stockholm,1,3,0,0
Re:newcell,"We dissolve cotton and viscose and turn them into renewcell pulp, a pure, biodegradable raw material for the fashion industry",Europe,Sweden,Stockholm,59.338947,18.0756149,9.83,sustainable development goals;recycling;waste reduction;industrial technology;advanced materials;climate tech;spinout;nordic rising star 2022;circular economy,fashion;energy,apparel,late growth,Fouriertransform;Almi Invest;H&M CO:LAB;The Mills Fabrica;KTH Royal Institute of Technology,investment entities;investment entities;investment entities;support programs;public and non-profit,Stockholm,1,3,1,0
Bower,Working on connecting more brands and making more products depositable,Europe,Sweden,Stockholm,59.3413621,18.0644171,5.01,recycling;nordic rising star 2022;sustainable development goals;climate tech;circular economy;b corp,fintech;energy,waste solution,early growth,Almi Invest;Orkla Ventures;Verdane Capital;Blq Invest,"investment entities;investment entities;investment entities,investment entities;investment entities",Stockholm,0,3,0,0
Ferroamp Elektronik AB,"Develops, manufactures and markets innovative power electronics for a more efficient use of electrical energy",Europe,Sweden,Stockholm,59.3921169,17.8768643,3.08,consumer electronics;sustainable development goals;climate tech;nordic rising star 2022,energy,energy efficiency;clean energy;energy storage,late growth,EIT InnoEnergy;Almi Invest;European Innovation Council;Sustainable Energy Angels,investment entities;investment entities;public and non-profit;investment entities,Stockholm,1,3,0,0
&Repeat,Platform for circular packaging economy,Europe,Sweden,Stockholm,59.3251172,18.0710935,1.65,recycling;sustainable development goals;climate tech;nordic rising star 2022;circular economy,food;energy,,early growth,Alliance Venture;Magnus Wiberg;Patrik Hedelin,investment entities;investment entities;investment entities,Stockholm,0,3,0,0
Enerpoly,A next-generation energy storage technology company pioneering rechargeable zinc-ion battery chemistry,Europe,Sweden,Stockholm,59.3491146,18.070051,3.9,sustainable development goals;ev battery;climate tech;stationary energy storage;electric mobility;grid energy storage;novel energy;alternative battery chemistry,energy;transportation,energy storage,early growth,European Innovation Council;Vinnova;Swedish Energy Agency;Sting;+Impact;Propel Capital;Fredrik Sidhagen;Johan Nord;For ClimateTech,"public and non-profit;public and non-profit;public and non-profit;support programs;support programs;investment entities,investment entities;investment entities;investment entities;investment entities",Stockholm,3,3,2,0
Tip Tapp,Application platform used for buying and selling used and recyclable products,Europe,Sweden,Stockholm,59.3251172,18.0710935,4.2,recycling,energy,waste solution,early growth,Filip Engelbert;Jonas Nordlander;GP Bullhound;Otiva,"investment entities;investment entities;advisory and service provider,investment entities;investment entities",Stockholm,0,3,0,0
MyFC,Manufacturer of micro fuel cells and chargers for portable consumer electronic devices such as smartphones and tablets,Europe,Sweden,Stockholm,59.3251172,18.0710935,6.58,charging technology;sustainable development goals;climate tech;spinout,energy,energy storage,early growth,Svenska Handelsbanken AB;Skandiabanken;Eurostars SME programme;KTH Chalmers Capital;Sting;KTH Royal Institute of Technology,investment entities;investment entities;public and non-profit;investment entities;support programs;public and non-profit,Stockholm,2,3,1,0
Variolytics,"Develops innovative sensor technologies for better process control in industrial processes, using climate-neutral sewage treatment plants",Europe,Germany,Stuttgart,48.7784485,9.1800132,2.72,wastewater treatment;sustainable development goals;climate tech;industrial automation;machinery manufacturing,energy,water,early growth,FTTF;High-Tech Gründerfonds;European Innovation Council;EIC Fund (European Innovation Council Fund),investment entities;investment entities;public and non-profit;investment entities,Stuttgart,1,3,0,0
Hy2gen AG,Operate plants worldwide for the production of green hydrogen and hydrogen-based e-fuels,Europe,Germany,Stuttgart,48.6289,9.02564,200,hydrogen;novel energy;sustainable development goals;climate tech;zero emission fuel,energy,energy storage;clean energy,early growth,Hy24;Mirova;Caisse de dépôt et placement du Québec;Technip Energies,"investment entities;investment entities;investment entities,investment entities;investment entities",Tubingen,0,3,0,0
Spacedrip,Developed wastewater treatment robots that purify wastewater to clean water,Europe,Estonia,Tallinn,59.3039737,24.4396569,1.36,climate tech;sustainable development goals,energy;robotics,water;waste solution,early growth,Vestman Energia;Kuldar Väärsi;Taavi Veskimägi;Eigenkapital OÜ;Msm OÜ,investment entities;user;user;investment entities;investment entities,Tallinn,0,3,0,0
SOLHO,SOLHO develops solar-based energy systems to power greenhouse farms,Europe,Netherlands,The Hague,52.0129787,4.3658123,0.96,horticulture;sustainable development goals;solar energy;climate tech;academic startup competition,food;energy,clean energy;agritech,seed,European Innovation Council;Day One;SHIFT Invest;Rabobank,public and non-profit;investment entities;investment entities;investment entities,The Hague,1,3,0,0
Whiffle,Develops cutting-edge computing technology to produce ultra fine scale weather forecasts,Europe,Netherlands,The Hague,51.993398,4.386851,3.4,weather forecasting;climate tech;sustainable development goals;producer;spinout;climate risk,energy;enterprise software,clean energy,early growth,YES!Delft;Delft Enterprises;ENERGIIQ;SHIFT Invest;EIT Climate-KIC,support programs;investment entities;investment entities;investment entities;support programs,Rotterdam,0,3,2,0
Nexperia Energy Harvesting Solutions,Enables companies to use the energy that is already readily available around the device,Europe,Netherlands,The Hague,51.993423,4.3856069,13,4g;gsm;smart home;rf technology;battery;consumer electronics;sustainable development goals;climate tech;novel energy;waste heat recovery;other categories novel energy;circular economy,energy,energy providers;energy efficiency,early growth,Disruptive Technology Ventures;Netherlands Enterprise Agency (RVO);Nexperia;EIC Fund (European Innovation Council Fund);European Innovation Council,investment entities;public and non-profit;investment entities;investment entities;public and non-profit,Rotterdam,2,3,0,0
